/home/xmagneto/Documents/Self Driving Car/data/IMG/center_2022_10_02_21_14_14_665.jpg,/home/xmagneto/Documents/Self Driving Car/data/IMG/left_2022_10_02_21_14_14_665.jpg,/home/xmagneto/Documents/Self Driving Car/data/IMG/right_2022_10_02_21_14_14_665.jpg,0,0.1728544,0,0.09306019
/home/xmagneto/Documents/Self Driving Car/data/IMG/center_2022_10_02_21_14_14_779.jpg,/home/xmagneto/Documents/Self Driving Car/data/IMG/left_2022_10_02_21_14_14_779.jpg,/home/xmagneto/Documents/Self Driving Car/data/IMG/right_2022_10_02_21_14_14_779.jpg,-0.25,0.4817405,0,0.5637881
/home/xmagneto/Documents/Self Driving Car/data/IMG/center_2022_10_02_21_14_14_880.jpg,/home/xmagneto/Documents/Self Driving Car/data/IMG/left_2022_10_02_21_14_14_880.jpg,/home/xmagneto/Documents/Self Driving Car/data/IMG/right_2022_10_02_21_14_14_880.jpg,-0.5000001,0.7809634,0,1.410751
/home/xmagneto/Documents/Self Driving Car/data/IMG/center_2022_10_02_21_14_14_964.jpg,/home/xmagneto/Documents/Self Driving Car/data/IMG/left_2022_10_02_21_14_14_964.jpg,/home/xmagneto/Documents/Self Driving Car/data/IMG/right_2022_10_02_21_14_14_964.jpg,-0.7500002,1,0,2.51907
/home/xmagneto/Documents/Self Driving Car/data/IMG/center_2022_10_02_21_14_15_066.jpg,/home/xmagneto/Documents/Self Driving Car/data/IMG/left_2022_10_02_21_14_15_066.jpg,/home/xmagneto/Documents/Self Driving Car/data/IMG/right_2022_10_02_21_14_15_066.jpg,-1,1,0,3.629618
/home/xmagneto/Documents/Self Driving Car/data/IMG/center_2022_10_02_21_14_15_171.jpg,/home/xmagneto/Documents/Self Driving Car/data/IMG/left_2022_10_02_21_14_15_171.jpg,/home/xmagneto/Documents/Self Driving Car/data/IMG/right_2022_10_02_21_14_15_171.jpg,-1,1,0,4.744191
/home/xmagneto/Documents/Self Driving Car/data/IMG/center_2022_10_02_21_14_15_281.jpg,/home/xmagneto/Documents/Self Driving Car/data/IMG/left_2022_10_02_21_14_15_281.jpg,/home/xmagneto/Documents/Self Driving Car/data/IMG/right_2022_10_02_21_14_15_281.jpg,-1,1,0,6.072084
/home/xmagneto/Documents/Self Driving Car/data/IMG/center_2022_10_02_21_14_15_382.jpg,/home/xmagneto/Documents/Self Driving Car/data/IMG/left_2022_10_02_21_14_15_382.jpg,/home/xmagneto/Documents/Self Driving Car/data/IMG/right_2022_10_02_21_14_15_382.jpg,0,1,0,7.059101
/home/xmagneto/Documents/Self Driving Car/data/IMG/center_2022_10_02_21_14_15_482.jpg,/home/xmagneto/Documents/Self Driving Car/data/IMG/left_2022_10_02_21_14_15_482.jpg,/home/xmagneto/Documents/Self Driving Car/data/IMG/right_2022_10_02_21_14_15_482.jpg,0,1,0,8.189625
/home/xmagneto/Documents/Self Driving Car/data/IMG/center_2022_10_02_21_14_15_582.jpg,/home/xmagneto/Documents/Self Driving Car/data/IMG/left_2022_10_02_21_14_15_582.jpg,/home/xmagneto/Documents/Self Driving Car/data/IMG/right_2022_10_02_21_14_15_582.jpg,0,1,0,9.314556
/home/xmagneto/Documents/Self Driving Car/data/IMG/center_2022_10_02_21_14_15_653.jpg,/home/xmagneto/Documents/Self Driving Car/data/IMG/left_2022_10_02_21_14_15_653.jpg,/home/xmagneto/Documents/Self Driving Car/data/IMG/right_2022_10_02_21_14_15_653.jpg,0,1,0,9.984317
/home/xmagneto/Documents/Self Driving Car/data/IMG/center_2022_10_02_21_14_15_744.jpg,/home/xmagneto/Documents/Self Driving Car/data/IMG/left_2022_10_02_21_14_15_744.jpg,/home/xmagneto/Documents/Self Driving Car/data/IMG/right_2022_10_02_21_14_15_744.jpg,0,1,0,11.0918
/home/xmagneto/Documents/Self Driving Car/data/IMG/center_2022_10_02_21_14_15_820.jpg,/home/xmagneto/Documents/Self Driving Car/data/IMG/left_2022_10_02_21_14_15_820.jpg,/home/xmagneto/Documents/Self Driving Car/data/IMG/right_2022_10_02_21_14_15_820.jpg,0,1,0,12.0998
/home/xmagneto/Documents/Self Driving Car/data/IMG/center_2022_10_02_21_14_15_931.jpg,/home/xmagneto/Documents/Self Driving Car/data/IMG/left_2022_10_02_21_14_15_931.jpg,/home/xmagneto/Documents/Self Driving Car/data/IMG/right_2022_10_02_21_14_15_931.jpg,0,1,0,12.80821
/home/xmagneto/Documents/Self Driving Car/data/IMG/center_2022_10_02_21_14_16_047.jpg,/home/xmagneto/Documents/Self Driving Car/data/IMG/left_2022_10_02_21_14_16_047.jpg,/home/xmagneto/Documents/Self Driving Car/data/IMG/right_2022_10_02_21_14_16_047.jpg,0,1,0,14.22402
/home/xmagneto/Documents/Self Driving Car/data/IMG/center_2022_10_02_21_14_16_140.jpg,/home/xmagneto/Documents/Self Driving Car/data/IMG/left_2022_10_02_21_14_16_140.jpg,/home/xmagneto/Documents/Self Driving Car/data/IMG/right_2022_10_02_21_14_16_140.jpg,-0.15,1,0,15.4765
/home/xmagneto/Documents/Self Driving Car/data/IMG/center_2022_10_02_21_14_16_242.jpg,/home/xmagneto/Documents/Self Driving Car/data/IMG/left_2022_10_02_21_14_16_242.jpg,/home/xmagneto/Documents/Self Driving Car/data/IMG/right_2022_10_02_21_14_16_242.jpg,0,1,0,16.40565
/home/xmagneto/Documents/Self Driving Car/data/IMG/center_2022_10_02_21_14_16_345.jpg,/home/xmagneto/Documents/Self Driving Car/data/IMG/left_2022_10_02_21_14_16_345.jpg,/home/xmagneto/Documents/Self Driving Car/data/IMG/right_2022_10_02_21_14_16_345.jpg,-0.15,1,0,17.49108
/home/xmagneto/Documents/Self Driving Car/data/IMG/center_2022_10_02_21_14_16_441.jpg,/home/xmagneto/Documents/Self Driving Car/data/IMG/left_2022_10_02_21_14_16_441.jpg,/home/xmagneto/Documents/Self Driving Car/data/IMG/right_2022_10_02_21_14_16_441.jpg,0,1,0,18.48702
/home/xmagneto/Documents/Self Driving Car/data/IMG/center_2022_10_02_21_14_16_553.jpg,/home/xmagneto/Documents/Self Driving Car/data/IMG/left_2022_10_02_21_14_16_553.jpg,/home/xmagneto/Documents/Self Driving Car/data/IMG/right_2022_10_02_21_14_16_553.jpg,-0.25,1,0,19.4985
/home/xmagneto/Documents/Self Driving Car/data/IMG/center_2022_10_02_21_14_16_660.jpg,/home/xmagneto/Documents/Self Driving Car/data/IMG/left_2022_10_02_21_14_16_660.jpg,/home/xmagneto/Documents/Self Driving Car/data/IMG/right_2022_10_02_21_14_16_660.jpg,-0.15,1,0,20.70232
/home/xmagneto/Documents/Self Driving Car/data/IMG/center_2022_10_02_21_14_16_771.jpg,/home/xmagneto/Documents/Self Driving Car/data/IMG/left_2022_10_02_21_14_16_771.jpg,/home/xmagneto/Documents/Self Driving Car/data/IMG/right_2022_10_02_21_14_16_771.jpg,0,1,0,21.69097
/home/xmagneto/Documents/Self Driving Car/data/IMG/center_2022_10_02_21_14_16_865.jpg,/home/xmagneto/Documents/Self Driving Car/data/IMG/left_2022_10_02_21_14_16_865.jpg,/home/xmagneto/Documents/Self Driving Car/data/IMG/right_2022_10_02_21_14_16_865.jpg,-0.15,1,0,22.6702
/home/xmagneto/Documents/Self Driving Car/data/IMG/center_2022_10_02_21_14_16_967.jpg,/home/xmagneto/Documents/Self Driving Car/data/IMG/left_2022_10_02_21_14_16_967.jpg,/home/xmagneto/Documents/Self Driving Car/data/IMG/right_2022_10_02_21_14_16_967.jpg,-0.4,1,0,23.57718
/home/xmagneto/Documents/Self Driving Car/data/IMG/center_2022_10_02_21_14_17_060.jpg,/home/xmagneto/Documents/Self Driving Car/data/IMG/left_2022_10_02_21_14_17_060.jpg,/home/xmagneto/Documents/Self Driving Car/data/IMG/right_2022_10_02_21_14_17_060.jpg,-0.6500001,1,0,24.35003
/home/xmagneto/Documents/Self Driving Car/data/IMG/center_2022_10_02_21_14_17_161.jpg,/home/xmagneto/Documents/Self Driving Car/data/IMG/left_2022_10_02_21_14_17_161.jpg,/home/xmagneto/Documents/Self Driving Car/data/IMG/right_2022_10_02_21_14_17_161.jpg,-0.9000002,1,0,24.99118
